Repertório de Casamento
Música	Autor/Referência	Letras	Cifras
Amar Você	Fernanda Brum	Letra	Cifra
Amar-te mais	Nicodemos Costa	Letra	Cifra
Amigo Irmão	Anjos de Resgate	Letra	Cifra
Amigos pela fé	Anjos de Resgate	Letra	Cifra
Amor verdadeiro	Cathedral	Letra	Cifra
Ave Maria	Gonoud	Letra	Cifra
Ave Maria	Schubert	Letra	Cifra
Com os anjos te adorar	Anjos de Resgate	Letra	Cifra
Com Poesia	Suely Façanha	Letra	Cifra
Como é grande o meu amor por você	Roberto Carlos	Letra	Cifra
Consagrado para Amar	Eliana Ribeiro	Letra	Cifra
De coração	Vida Reluz	Letra	Cifra
Deus Eu e Você	Banda Maranatha	Letra	Cifra
Diante do Rei	Vida Reluz	Letra	Cifra
Essência de Deus	João Alexandre	Letra	Cifra
Eternamente	Vida Reluz	Letra	Cifra
Eternos Amigos	Anjos de Resgate	Letra	Cifra
Formosa e Bela	Kelly Patrícia	Letra	Cifra
Mais que Amigos	Anjos de Resgate	Letra	Cifra
Marcha Nupcial	.	Letra	Cifra
Meu Eterno Namorado	Aline Barros	Letra	Cifra
Ninguém te ama como eu	Mensagem Brasil	Letra	Cifra
Noites traiçoeiras	Popular	Letra	Cifra
Nossos Caminhos	Nelsinho Corrêia	Letra	Cifra
O Amado	Toca de Assis	Letra	Cifra
O Primeiro Olhar	Anjos de Resgate	Letra	Cifra
Oração pela família	Padre Zezinho	Letra	Cifra
Perfeito Amor	Oficina G3	Letra	Cifra
Perfeito é quem te Criou	Vida Reluz	Letra	Cifra
Primavera	Kênia	Letra	Cifra
Serei teu amigo	Anjos de Resgate	Letra	Cifra
Simplesmente José	Mensagem Brasil	Letra	Cifra
Sou teu anjo	Anjos de Resgate	Letra	Cifra
Te Amaria Outra Vez	Fernanda Brum	Letra	Cifra
Todo azul do mar	Flávio Venturini	Letra	Cifra
